variable_concept,candidate_indicator,source,source_variable,why_relevant,literature_support,expected_direction,coverage_checked,coverage_summary,already_downloaded,include_decision,decision_reason,measurement_caveat,lag_recommendation,metadata_match_keywords,metadata_matches
GDP per capita,gdp_per_capita,World Bank WDI,NY.GDP.PCAP.KD,Captures development level and general innovation capacity.,Moderate; used as a development and innovation-capacity control.,Positive,True,"gdp_per_capita: 213 countries, 35 years, 1990-2024",True,candidate,"Strong coverage and clear interpretation, but may absorb several mechanisms.",Consider log transform; avoid over-interpreting as a causal income effect.,Use t-1; test t-2 in robustness if coverage allows.,gdp per capita; constant; income per capita,NY.GDP.PCAP.KD: gdp_per_capita
GDP/population/market size,gdp; population,World Bank WDI,NY.GDP.MKTP.KD; SP.POP.TOTL,Measures market size and scale of the national innovation system.,Moderate; patent studies often control for market size or total demand.,Positive,True,"gdp: 213 countries, 35 years, 1990-2024; population: 217 countries, 35 years, 1990-2024",True,candidate_control,Useful control if the target is not fully size-normalized.,Can duplicate country-size information; use sparingly with normalized targets.,Use t-1.,gdp; gross domestic product; population; market size,NY.GDP.MKTP.KD: gdp; SP.POP.TOTL: population
Manufacturing share,manufacturing_share,World Bank WDI,NV.IND.MANF.ZS,Rough proxy for industrial structure and potential demand for cleaner production.,"Moderate to weak; sectoral structure matters, but country-level share is coarse.",Ambiguous,True,"manufacturing_share: 203 countries, 35 years, 1990-2024",True,optional,Keep as an optional structural control after checking collinearity and coverage.,Does not identify pollution-intensive sectors or green manufacturing directly.,Use t-1.,manufacturing; value added; industry share,NV.IND.MANF.ZS: manufacturing_share
R&D expenditure,rd_expenditure_gdp,World Bank WDI,GB.XPD.RSDV.GD.ZS,Measures national innovation capacity and knowledge investment.,Strong; repeatedly linked to patenting and environmental innovation capacity.,Positive,True,"rd_expenditure_gdp: 156 countries, 29 years, 1996-2024",True,candidate,High conceptual fit; coverage is the main constraint.,"General R&D, not green R&D.",Use t-1; test t-2 or t-3 if feasible.,research and development; r&d expenditure; gross domestic expenditure,GB.XPD.RSDV.GD.ZS: rd_expenditure_gdp
Researchers,researchers_per_million,World Bank WDI,SP.POP.SCIE.RD.P6,Captures human capital available for invention.,Moderate; conceptually aligned with innovation capacity.,Positive,True,"researchers_per_million: 145 countries, 29 years, 1996-2024",True,secondary_candidate,Useful capacity proxy if R&D expenditure is missing or as a robustness check.,Coverage is thinner and the variable is not specific to environmental research.,Use t-1; test longer lags only if coverage remains usable.,researchers; research and development; per million,SP.POP.SCIE.RD.P6: researchers_per_million
Tertiary education,tertiary_enrollment,World Bank WDI or OECD education data,,Measures broad human-capital conditions for innovation.,Moderate to weak for this specific country-level patent design.,Positive,False,not checked,False,optional,Keep as a fallback human-capital proxy if researcher coverage is too sparse.,Enrollment is not the same as research workforce or technical skills.,Use t-1 or t-2.,tertiary education; school enrollment tertiary; educational attainment,
Renewable energy share,renewable_energy_share,World Bank WDI,EG.FEC.RNEW.ZS,Captures energy-transition demand and deployment context.,"Moderate; related literature often uses renewable policies, prices, or capacity.",Positive,True,"renewable_energy_share: 212 countries, 33 years, 1990-2022",True,candidate_energy_variable,Prefer at most one energy-system variable in the first small model.,Final-energy share may reflect resource endowments as much as innovation demand.,Use t-1; test t-2 in robustness.,renewable energy; final energy consumption; renewables share,EG.FEC.RNEW.ZS: renewable_energy_share
Fossil energy share,fossil_energy_share,World Bank WDI,EG.USE.COMM.FO.ZS,"Captures fossil dependence, possible transition pressure, and lock-in.",Weak to cautionary; sign is theoretically ambiguous.,Ambiguous,True,"fossil_energy_share: 179 countries, 35 years, 1990-2024",True,optional_energy_variable,Use only if it adds interpretable information beyond renewable share or energy intensity.,Can indicate both high transition need and fossil lock-in.,Use t-1.,fossil fuel; energy consumption; total energy use,EG.USE.COMM.FO.ZS: fossil_energy_share
Energy intensity,energy_intensity,World Bank WDI,EG.EGY.PRIM.PP.KD,Measures energy efficiency pressure and production structure.,Weak to cautionary; related evidence more often uses energy prices.,Ambiguous,True,"energy_intensity: 201 countries, 23 years, 2000-2022",True,optional_energy_variable,"Potential robustness variable, not a first-choice predictor.",Not equivalent to energy price incentives or regulation.,Use t-1.,energy intensity; primary energy; purchasing power parity,EG.EGY.PRIM.PP.KD: energy_intensity
CO2 per capita,co2_per_capita,World Bank WDI,EN.ATM.CO2E.PC,Captures emissions pressure and carbon-intensive structure.,"Weak to cautionary; emissions can be pressure, outcome, or structural proxy.",Ambiguous,True,"co2_per_capita: 191 countries, 31 years, 1990-2020",True,optional_energy_variable,Consider only with careful interpretation and lagging.,May proxy economic structure and fossil dependence rather than policy pressure.,Use t-1 or t-2.,co2 emissions; carbon dioxide; per capita,EN.ATM.CO2E.PC: co2_per_capita
Environmental policy stringency,eps_index,OECD EPS,POL_STRINGENCY.EPS,Measures policy incentives for cleaner technologies.,Strong; central policy predictor in environmental innovation literature.,Positive,True,"eps_index: 40 countries, 31 years, 1990-2020",True,candidate,Best policy candidate if narrower OECD-style coverage is acceptable.,Coverage narrows the panel and predictive association is not causal proof.,Use t-1; test t-2 or t-3 if feasible.,environmental policy stringency; eps; policy stringency,
RISE sustainable energy regulation,rise_score,RISE,,Captures sustainable-energy policy and regulatory environment.,Optional; useful policy proxy but less directly tied to patent evidence.,Positive,False,not checked,False,optional_policy_variable,Keep until country-year coverage and exact measure are verified.,May have limited years and may not align with OECD patent panel.,Use t-1 or nearest prior observation.,rise; sustainable energy; regulatory indicators,
Carbon pricing/ETS,carbon_pricing_ets,"OECD, World Bank, or other public policy source",,Measures direct price incentives for low-carbon innovation.,Optional; mechanism is strong but harmonized coverage must be checked.,Positive,False,not checked,False,optional_policy_variable,Add only if a clean public panel source is available without excess complexity.,Policy design and sector coverage vary; binary ETS measures may be coarse.,Use t-1; test longer policy lags if coverage allows.,carbon pricing; carbon tax; emissions trading; ets,
